 , ,"Калужская область, Калуга, Октябрьский, улица Дружбы, 11", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Куровской, улица Шахтерская, 2", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы, 21", 
 , ,"Калужская область, Калуга, Октябрьский, улица Суворова, 147", 
 , ,"Калужская область, Калуга, Ленинский, улица Кирова, 23", 
 , ,"Калужская область, Калуга, Октябрьский, улица Дружбы", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Куровской, Строительная улица", 
 , ,"Калужская область, Калуга, Ленинский, улица Луначарского", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Спартака, 5", 
 , ,"Калужская область, Калуга, Турынино мкр, улица Советская", 
 , ,"Калужская область, Калуга, Ленинский, улица Маршала Жукова", 
 , ,"Калужская область, Калуга, Ленинский, Тульская улица", 
 , ,"Калужская область, Калуга, Турынино мкр, улица Советская", 
 , ,"Калужская область, Калуга, Ленинский, улица Степана Разина", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы", 
 , ,"Калужская область, Калуга, Октябрьский, мкр. Новые Черемушки, переулок Хрустальный", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы, 21", 
 , ,"Калужская область, Калуга, Московский, улица Пухова, 56", 
 , ,"Калужская область, Калуга, Ленинский, улица Никитина", 
 , ,"Калужская область, Калуга, Ленинский, улица Кирова, 23", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы, 21", 
 , ,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы", 
 , ,"Калужская область, Калуга, Ленинский, Тульская улица, 34/2", 
 , ,"Калужская область, Калуга, Ленинский, улица Кирова, 23", 
"3-комн. кв., 42,4 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/230534572/,"Калужская область, Калуга, Ленинский, улица Маршала Жукова, 12",2 450 000 ₽
"3-комн. кв., 64 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/230462471/,"Калужская область, Калуга, Московский, мкр. 30-й, улица Кубяка, 10",2 850 000 ₽
"3-комн. кв., 77 м², 1/3 этаж",https://kaluga.cian.ru/sale/flat/230474494/,"Калужская область, Калуга, Ленинский, улица Салтыкова-Щедрина, 16",3 300 000 ₽
"3-комн. кв., 55 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/230799984/,"Калужская область, Калуга, Ленинский, улица Дзержинского, 17",3 550 000 ₽
"3-комн. кв., 92,51 м², 1/10 этаж",https://kaluga.cian.ru/sale/flat/229465817/,"Калужская область, Калуга, Ленинский, улица Фомушина",4 162 950 ₽
"3-комн. кв., 85,63 м², 20/23 этаж",https://kaluga.cian.ru/sale/flat/217406156/,"Калужская область, Калуга, Московский, улица Пухова, 56",5 137 800 ₽
"3-комн. кв., 99,66 м², 1/9 этаж",https://kaluga.cian.ru/sale/flat/227501500/,"Калужская область, Калуга, Московский, Высокая улица, 2",5 780 280 ₽
"3-комн. кв., 85,9 м², 18/25 этаж",https://kaluga.cian.ru/sale/flat/230428033/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы, 21",6 133 260 ₽
"3-комн. кв., 99,4 м², 5/6 этаж",https://kaluga.cian.ru/sale/flat/225271510/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",9 741 200 ₽
"3-комн. кв., 84,7 м², 13/20 этаж",https://kaluga.cian.ru/sale/flat/214307223/,"Калужская область, Калуга, Октябрьский, мкр. Новые Черемушки, переулок Хрустальный",4 870 250 ₽
"3-комн. кв., 96,2 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/225648947/,"Калужская область, Калуга, Ленинский, улица Космонавта Комарова, 34/46",6 600 000 ₽
"3-комн. кв., 124 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229333769/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",10 292 000 ₽
"3-комн. кв., 53,4 м², 1/2 этаж",https://kaluga.cian.ru/sale/flat/222985030/,"Калужская область, Калуга, Московский, Высокая улица, 2",2 200 000 ₽
"3-комн. кв., 65,9 м², 3/9 этаж",https://kaluga.cian.ru/sale/flat/221423924/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Спартака, 5",2 900 000 ₽
"3-комн. кв., 53 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/224996883/,"Калужская область, Калуга, Ленинский, улица Никитина, 125Б",3 390 000 ₽
"3-комн. кв., 60,8 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/225789385/,"Калужская область, Калуга, Ленинский, Николо-Козинская улица, 114",3 500 000 ₽
"3-комн. кв., 67 м², 5/9 этаж",https://kaluga.cian.ru/sale/flat/224923077/,"Калужская область, Калуга, Ленинский, Тульская улица, 121",3 700 000 ₽
"3-комн. кв., 100 м², 3/6 этаж",https://kaluga.cian.ru/sale/flat/226314172/,"Калужская область, Калуга, Ленинский, улица Фридриха Энгельса, 147",5 900 000 ₽
"3-комн. кв., 93,5 м², 6/9 этаж",https://kaluga.cian.ru/sale/flat/227460971/,"Калужская область, Калуга, Ленинский, Тульская улица, 13б",5 900 000 ₽
"3-комн. кв., 98 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/223788978/,"Калужская область, Калуга, Московский, Пролетарская улица, 51",6 700 000 ₽
"3-комн. кв., 119 м², 5/10 этаж",https://kaluga.cian.ru/sale/flat/220563086/,"Калужская область, Калуга, Ленинский, улица Степана Разина, 28",10 000 000 ₽
"3-комн. кв., 160 м², 1/3 этаж",https://kaluga.cian.ru/sale/flat/224174074/,"Калужская область, Калуга, Октябрьский, мкр. Северный, Тепличная улица, 10",10 200 000 ₽
"3-комн. кв., 50,3 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/225904698/,"Калужская область, Калуга, Ленинский, улица Постовалова, 2",2 900 000 ₽
"3-комн. кв., 84,7 м², 6/9 этаж",https://kaluga.cian.ru/sale/flat/228141015/,"Калужская область, Калуга, Ленинский, Больничная улица, 10",4 300 000 ₽
"3-комн. кв., 80 м², 10/13 этаж",https://kaluga.cian.ru/sale/flat/228757571/,"Калужская область, Калуга, Ленинский, мкр. Хороший, улица Фомушина, 31",6 000 000 ₽
"3-комн. кв., 97 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/225615241/,"Калужская область, Калуга, Ленинский, Георгиевская улица, 3",6 390 000 ₽
"3-комн. кв., 49,5 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/225547158/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова",2 100 000 ₽
"3-комн. кв., 64 м², 1/9 этаж",https://kaluga.cian.ru/sale/flat/227065062/,"Калужская область, Калуга, Московский, мкр. 30-й, улица Кибальчича",2 350 000 ₽
"3-комн. кв., 60 м², 4/4 этаж",https://kaluga.cian.ru/sale/flat/205224569/,"Калужская область, Калуга, Ленинский, мкр. Куровской, Строительная улица, 7",2 500 000 ₽
"3-комн. кв., 59,1 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/225547131/,"Калужская область, Калуга, Ленинский, улица Болдина",2 600 000 ₽
"3-комн. кв., 59 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/225547184/,"Калужская область, Калуга, Московский, мкр. Силикатный, Карачевская улица",2 700 000 ₽
"3-комн. кв., 60 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229345323/,"Калужская область, Калуга, Московский, мкр. Силикатный, Карачевская улица",3 000 000 ₽
"3-комн. кв., 69 м², 1/7 этаж",https://kaluga.cian.ru/sale/flat/204731627/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова",3 000 000 ₽
"3-комн. кв., 63 м², 8/9 этаж",https://kaluga.cian.ru/sale/flat/225547134/,"Калужская область, Калуга, Московский, мкр. 30-й, улица Кибальчича",3 050 000 ₽
"3-комн. кв., 56,7 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229350806/,"Калужская область, Калуга, Октябрьский, улица Платова",3 200 000 ₽
"3-комн. кв., 59,5 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/225547110/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова",3 200 000 ₽
"3-комн. кв., 63 м², 5/9 этаж",https://kaluga.cian.ru/sale/flat/225056799/,"Калужская область, Калуга, Ленинский, улица Постовалова",3 350 000 ₽
"3-комн. кв., 66 м², 4/9 этаж",https://kaluga.cian.ru/sale/flat/226076498/,"Калужская область, Калуга, Московский, мкр. 30-й, Малоярославецкая улица",3 500 000 ₽
"3-комн. кв., 65 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/228411390/,"Калужская область, Калуга, Ленинский, улица Гагарина",3 700 000 ₽
"3-комн. кв., 81,48 м², 1/11 этаж",https://kaluga.cian.ru/sale/flat/229465947/,"Калужская область, Калуга, Ленинский, улица Фомушина",3 829 560 ₽
